,rank_year,ranks,title,author,no_of_reviews,ratings,price,cover_type,genre
366,2012,74.0,A Guide to the Project Management Body of Knowledge,Project Management Institute,726.0,4.4,24.33,Paperback,Non Fiction
367,2012,75.0,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,3845.0,4.3,16.0,Hardcover,Non Fiction
368,2012,76.0,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",Charlaine Harris,4372.0,4.5,14.85,Hardcover,Fiction
369,2012,77.0,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,9891.0,4.7,20.97,Paperback,Non Fiction
370,2012,78.0,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,Gene Stone,2800.0,4.5,8.69,Paperback,Non Fiction
371,2012,79.0,The Jesus Storybook Bible: Every Story Whispers His Name,Sally Lloyd-Jones,11859.0,4.9,15.79,Hardcover,Non Fiction
372,2012,80.0,Notorious Nineteen: A Stephanie Plum Novel,Janet Evanovich,8075.0,4.6,14.76,Hardcover,Fiction
373,2012,81.0,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",Timothy Ferriss,2827.0,4.5,19.87,Hardcover,Non Fiction
374,2012,82.0,Cloud Atlas,David Mitchell,5824.0,4.3,11.99,Paperback,Fiction
375,2012,83.0,The Alchemist,Paulo Coelho,3816.0,4.7,25.0,Paperback,Fiction
376,2012,84.0,The Hunger Games,Suzanne Collins,42770.0,4.7,22.6,Hardcover,Fiction
377,2012,85.0,"Help, Thanks, Wow: The Three Essential Prayers",Anne Lamott,2022.0,4.6,13.0,Hardcover,Non Fiction
378,2012,86.0,Wonder,R. J. Palacio,35698.0,4.8,9.67,Hardcover,Fiction
379,2012,87.0,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",Woo Myung,50.0,3.8,22.97,Hardcover,Non Fiction
380,2012,88.0,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",Mary C. Neal,4826.0,4.5,9.29,Paperback,Non Fiction
381,2012,89.0,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",Del Sroufe,13075.0,4.5,9.79,Paperback,Non Fiction
382,2012,90.0,Catching Fire (Hunger Games),Suzanne Collins,32459.0,4.7,12.55,Paperback,Fiction
383,2012,91.0,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",Robert Jordan,13061.0,4.8,19.81,Hardcover,Fiction
384,2012,92.0,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,11127.0,4.8,4.89,Hardcover,Fiction
385,2012,93.0,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,11732.0,4.6,15.98,Paperback,Non Fiction
386,2012,94.0,The Passage of Power: The Years of Lyndon Johnson,Robert A. Caro,1511.0,4.8,26.43,Hardcover,Non Fiction
387,2012,95.0,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,5477.0,4.8,14.52,Hardcover,Non Fiction
388,2012,96.0,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",Zhi Gang Sha Dr.,153.0,4.6,23.95,Hardcover,Non Fiction
389,2012,97.0,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,5331.0,4.7,24.0,Paperback,Non Fiction
390,2012,,,,,,,,unknown
391,2012,99.0,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy Keller,6212.0,4.8,20.26,Hardcover,Non Fiction
392,2012,100.0,Night (Night),Elie Wiesel,8573.0,4.7,5.49,Paperback,Non Fiction
393,2013,1.0,StrengthsFinder 2.0,Gallup,7082.0,4.1,18.29,Hardcover,Non Fiction
394,2013,2.0,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,8182.0,4.5,16.2,Hardcover,Non Fiction
395,2013,3.0,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,12470.0,4.8,13.85,Hardcover,Fiction
396,2013,4.0,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,9349.0,4.9,10.25,Hardcover,Fiction
397,2013,5.0,"Jesus Calling, Padded Hardcover, with Scripture references",Sarah Young,31196.0,4.9,7.53,Hardcover,Non Fiction
398,2013,6.0,Inferno,Dan Brown,35546.0,4.2,13.59,Hardcover,Fiction
399,2013,7.0,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,15237.0,4.8,12.2,Hardcover,Fiction
